date,description,amount
2025-01-01,IPERS PENSION DIRECT DEP,2280.00
2025-01-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-01-02,WELLCARE PART D RX PLAN,-38.00
2025-01-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-01-04,SAMS CLUB 6418 DUBUQUE,-58.21
2025-01-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-01-06,ALLIANT ENERGY UTILITY,-108.00
2025-01-06,DBQ WATER & RES RECOVERY,-48.00
2025-01-07,NETFLIX.COM,-15.49
2025-01-08,MEDIACOM CABLE INTERNET,-89.99
2025-01-08,DUBUQUE COUNTY LIBRARY FINE,-106.42
2025-01-09,CONSUMER CELLULAR,-42.00
2025-01-10,AMERICAN FAMILY INS HOME,-98.00
2025-01-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-01-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-01-13,ALDI 64 DUBUQUE IA,-72.40
2025-01-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-01-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-01-16,MEDICAP PHARMACY ASBURY,-24.18
2025-01-18,SIRIUSXM RADIO SVC,-23.99
2025-01-20,CASEY'S 3382 DUBUQUE,-45.10
2025-01-21,DUBUQUE FARMERS MARKET,-53.78
2025-01-22,TEXTILE BREWING CO,-22.60
2025-01-24,WALMART SC #1546 DUBUQUE,-88.13
2025-01-25,DUBUQUE GARDEN CENTER,-100.00
2025-01-26,AMAZON MKTPLACE PURCHASE,-41.12
2025-01-27,TRANSFER TO SAVINGS XXXX2210,-300.00
2025-02-01,IPERS PENSION DIRECT DEP,2280.00
2025-02-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-02-02,WELLCARE PART D RX PLAN,-38.00
2025-02-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-02-04,TARGET T-2189 DUBUQUE,-72.40
2025-02-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-02-06,ALLIANT ENERGY UTILITY,-108.00
2025-02-06,DBQ WATER & RES RECOVERY,-48.00
2025-02-07,NETFLIX.COM,-15.49
2025-02-08,MEDIACOM CABLE INTERNET,-89.99
2025-02-08,FOUR MOUNDS GIFT SHOP,-40.22
2025-02-09,CONSUMER CELLULAR,-42.00
2025-02-10,AMERICAN FAMILY INS HOME,-98.00
2025-02-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-02-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-02-13,HY-VEE #1224 DUBUQUE IA,-49.92
2025-02-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-02-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-02-16,CVS 8841 DUBUQUE,-31.20
2025-02-18,SIRIUSXM RADIO SVC,-23.99
2025-02-20,CASEY'S 3382 DUBUQUE,-38.02
2025-02-22,L MAY EATERY DUBUQUE,-41.05
2025-02-23,GREAT CLIPS ASBURY,-28.28
2025-02-24,SAMS CLUB 6418 DUBUQUE,-58.21
2025-02-25,DUBUQUE COUNTY LIBRARY FINE,-39.85
2025-02-26,AMAZON MKTPLACE PURCHASE,-67.30
2025-03-01,IPERS PENSION DIRECT DEP,2280.00
2025-03-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-03-02,WELLCARE PART D RX PLAN,-38.00
2025-03-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-03-04,WALMART SC #1546 DUBUQUE,-49.92
2025-03-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-03-06,ALLIANT ENERGY UTILITY,-123.00
2025-03-06,DBQ WATER & RES RECOVERY,-48.00
2025-03-07,NETFLIX.COM,-15.49
2025-03-08,MEDIACOM CABLE INTERNET,-89.99
2025-03-09,CONSUMER CELLULAR,-42.00
2025-03-10,AMERICAN FAMILY INS HOME,-98.00
2025-03-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-03-11,DOLLAR GENERAL 4471,-101.23
2025-03-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-03-13,ALDI 64 DUBUQUE IA,-58.21
2025-03-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-03-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-03-16,WALGREENS 5512 DUBUQUE,-57.60
2025-03-17,STELLA & DOT BOUTIQUE,-66.88
2025-03-18,SIRIUSXM RADIO SVC,-23.99
2025-03-19,DUBUQUE GARDEN CENTER,-80.49
2025-03-20,KWIK STAR #345 DUBUQUE,-31.40
2025-03-22,MAGOO'S PIZZA DUBUQUE,-27.80
2025-03-24,ALDI 64 DUBUQUE IA,-49.92
2025-03-26,AMAZON MKTPLACE PURCHASE,-23.49
2025-03-28,CITY OF DUBUQUE PROPERTY TAX,-1180.00
2025-04-01,IPERS PENSION DIRECT DEP,2280.00
2025-04-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-04-02,WELLCARE PART D RX PLAN,-38.00
2025-04-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-04-04,ALDI 64 DUBUQUE IA,-64.77
2025-04-05,VANGUARD IRA DISTRIBUTION ACH,900.00
