date,description,amount
2026-01-01,BROAD STREET APTS RENT,-1450.00
2026-01-01,SPECTRUM INTERNET,-70.00
2026-01-02,AEP OHIO ELECTRIC,-88.10
2026-01-03,COLUMBIA GAS OF OHIO,-61.20
2026-01-03,SPOTIFY USA,-11.99
2026-01-04,NETFLIX.COM,-15.49
2026-01-05,HBO MAX,-16.99
2026-01-06,ICLOUD+ STORAGE,-2.99
2026-01-07,ADOBE CREATIVE CLOUD,-54.99
2026-01-08,FIGMA.COM SUBSCRIPTION,-15.00
2026-01-09,NYTIMES DIGITAL,-17.00
2026-01-10,AMAZON PRIME MEMBERSHIP,-14.99
2026-01-11,PELOTON DIGITAL APP,-12.99
2026-01-12,NOTION LABS,-10.00
2026-01-13,YNAB BUDGETING APP,-14.99
2026-01-14,ROCKET MONEY PREMIUM,-12.00
2026-01-15,MONARCH MONEY,-14.99
2026-01-16,COPILOT MONEY SUBSCRIPTION,-13.00
2026-01-17,POCKETGUARD PLUS,-12.99
2026-01-18,GOODBUDGET SUBSCRIPTION,-8.00
2026-01-04,KROGER #0345 COLUMBUS,-74.10
2026-01-09,TRADER JOES #534,-51.88
2026-01-14,KROGER #0345 COLUMBUS,-39.20
2026-01-19,TRADER JOES #534,-62.40
2026-01-06,CHIPOTLE 2244,-12.85
2026-01-10,STARBUCKS STORE 1123,-6.45
2026-01-14,NORTHSTAR CAFE,-22.10
2026-01-18,DOORDASH ORDER,-31.40
2026-01-08,SHELL OIL 5712,-38.40
2026-01-17,MARATHON GAS 88,-41.05
2026-01-09,AMAZON.COM ORDER,-27.43
2026-01-14,TARGET 00012947 COLUMBUS,-63.21
2026-01-19,CVS PHARMACY 4471,-18.76
2026-01-11,MINT MOBILE WIRELESS,-30.00
2026-01-24,CITY OF COLUMBUS UTILITIES,-44.50
2026-01-26,FIDELITY INVESTMENTS TRANSFER,-300.00
2026-01-27,MOHELA STUDENT LN PMT,-95.00
2026-01-05,CHASE CREDIT CRD AUTOPAY 8842,-812.66
2026-01-29,NORTHSTAR PIXEL STUDIO PAYROLL,3451.80
2026-01-31,HUNTINGTON SAVINGS INTEREST,6.42
2026-02-01,BROAD STREET APTS RENT,-1450.00
2026-02-01,SPECTRUM INTERNET,-70.00
2026-02-02,AEP OHIO ELECTRIC,-79.40
2026-02-03,COLUMBIA GAS OF OHIO,-58.90
2026-02-03,SPOTIFY USA,-11.99
2026-02-04,NETFLIX.COM,-15.49
2026-02-05,HBO MAX,-16.99
2026-02-06,ICLOUD+ STORAGE,-2.99
2026-02-07,ADOBE CREATIVE CLOUD,-54.99
2026-02-08,FIGMA.COM SUBSCRIPTION,-15.00
2026-02-09,NYTIMES DIGITAL,-17.00
2026-02-10,AMAZON PRIME MEMBERSHIP,-14.99
2026-02-11,PELOTON DIGITAL APP,-12.99
2026-02-12,NOTION LABS,-10.00
2026-02-13,YNAB BUDGETING APP,-14.99
2026-02-14,ROCKET MONEY PREMIUM,-12.00
2026-02-15,MONARCH MONEY,-14.99
2026-02-16,COPILOT MONEY SUBSCRIPTION,-13.00
2026-02-17,POCKETGUARD PLUS,-12.99
2026-02-18,GOODBUDGET SUBSCRIPTION,-8.00
2026-02-04,KROGER #0345 COLUMBUS,-80.15
2026-02-09,TRADER JOES #534,-47.62
2026-02-14,KROGER #0345 COLUMBUS,-41.27
2026-02-19,TRADER JOES #534,-58.90
2026-02-06,CHIPOTLE 2244,-14.20
2026-02-10,STARBUCKS STORE 1123,-7.15
2026-02-14,NORTHSTAR CAFE,-25.30
2026-02-18,DOORDASH ORDER,-28.75
2026-02-08,SHELL OIL 5712,-36.20
2026-02-17,MARATHON GAS 88,-39.80
2026-02-09,AMAZON.COM ORDER,-31.10
2026-02-14,TARGET 00012947 COLUMBUS,-58.40
2026-02-19,CVS PHARMACY 4471,-21.30
2026-02-11,MINT MOBILE WIRELESS,-30.00
2026-02-24,CITY OF COLUMBUS UTILITIES,-44.50
2026-02-26,FIDELITY INVESTMENTS TRANSFER,-300.00
2026-02-27,MOHELA STUDENT LN PMT,-95.00
2026-02-05,CHASE CREDIT CRD AUTOPAY 8842,-430.21
2026-02-28,NORTHSTAR PIXEL STUDIO PAYROLL,3451.80
2026-02-28,HUNTINGTON SAVINGS INTEREST,6.05
2026-03-01,BROAD STREET APTS RENT,-1450.00
2026-03-01,SPECTRUM INTERNET,-70.00
2026-03-02,AEP OHIO ELECTRIC,-72.16
2026-03-03,COLUMBIA GAS OF OHIO,-49.20
2026-03-03,SPOTIFY USA,-11.99
2026-03-04,NETFLIX.COM,-15.49
2026-03-05,HBO MAX,-16.99
2026-03-06,ICLOUD+ STORAGE,-2.99
2026-03-07,ADOBE CREATIVE CLOUD,-54.99
2026-03-08,FIGMA.COM SUBSCRIPTION,-15.00
2026-03-09,NYTIMES DIGITAL,-17.00
2026-03-10,AMAZON PRIME MEMBERSHIP,-14.99
2026-03-11,PELOTON DIGITAL APP,-12.99
2026-03-12,NOTION LABS,-10.00
2026-03-13,YNAB BUDGETING APP,-14.99
2026-03-14,ROCKET MONEY PREMIUM,-12.00
2026-03-15,MONARCH MONEY,-14.99
2026-03-16,COPILOT MONEY SUBSCRIPTION,-13.00
2026-03-17,POCKETGUARD PLUS,-12.99
2026-03-18,GOODBUDGET SUBSCRIPTION,-8.00
2026-03-04,KROGER #0345 COLUMBUS,-69.40
2026-03-09,TRADER JOES #534,-53.10
2026-03-14,KROGER #0345 COLUMBUS,-44.18
2026-03-19,TRADER JOES #534,-61.05
2026-03-06,CHIPOTLE 2244,-11.60
2026-03-10,STARBUCKS STORE 1123,-6.95
