date,description,amount
2026-04-01,Lakeview Loan Servicing - Mortgage ACH,-1885.00
2026-04-01,Three Rivers FCU Auto Loan ACH (truck),-512.34
2026-04-02,Kroger #634 Fort Wayne IN,-148.27
2026-04-02,Starbucks Maplecrest,-7.85
2026-04-03,NIPSCO Gas Utility AutoPay,-176.40
2026-04-03,Netflix.com,-22.99
2026-04-04,Marathon Gas Stellhorn Rd,-61.20
2026-04-04,Parkview Health - lab copay,-62.00
2026-04-05,Casa Grille Restaurant,-86.40
2026-04-05,Target Store T-2241,-118.44
2026-04-06,Casa Grille Restaurant,-86.40
2026-04-06,Casa Grille Restaurant REVERSAL - duplicate charge,86.40
2026-04-06,Spotify USA,-11.99
2026-04-07,Planet Fitness Club Dues,-24.99
2026-04-07,Chick-fil-A Stellhorn,-31.27
2026-04-08,Meijer Grocery Coldwater Rd,-203.55
2026-04-09,Comcast Xfinity Internet,-89.00
2026-04-09,Venmo to A. Vandermolen,-50.00
2026-04-10,Amazon Prime Membership,-14.99
2026-04-10,ALDI Maysville Rd,-64.18
2026-04-11,Transfer to Stonepath Brokerage - savings,-300.00
2026-04-12,Indiana Farm Bureau Home Insurance,-214.66
2026-04-12,GLW Water & Sewer AutoPay,-58.73
2026-04-13,Costco Wholesale #1043,-176.83
2026-04-13,Disney+ Subscription,-13.99
2026-04-14,Shell Oil Maplecrest,-54.75
2026-04-15,St. Vincent Pediatrics - copay,-45.00
2026-04-15,Payroll - NW Allen County Schools DIRECT DEP,685.55
2026-04-16,The Home Depot #2018,-132.49
2026-04-16,USAA Auto Insurance (truck),-132.88
2026-04-17,AEP Indiana Electric AutoPay,-134.20
2026-04-18,Kroger #634 Fort Wayne IN,-91.34
2026-04-18,Lowe's #1564,-97.62
2026-04-19,Great Clips,-22.00
2026-04-20,Verizon Wireless,-158.22
2026-04-21,Don Hall's Original Drive-In,-72.10
2026-04-22,Northwest Allen Youth Soccer League,-90.00
2026-04-22,Amazon.com Refund,36.40
2026-04-23,Walgreens #5512,-28.41
2026-04-23,Fort Wayne Children's Zoo membership,-109.00
2026-04-24,Marathon Gas Stellhorn Rd,-58.90
2026-04-25,Menards Georgetown,-64.77
2026-04-26,ATM Withdrawal - Maumee Valley Bank,-100.00
2026-04-27,Kroger Fuel Center,-47.30
2026-04-28,Aldi Maysville Rd,-83.62
2026-04-29,Speedway Fuel Maysville,-49.55
2026-04-29,Sweetwater Sound - guitar strings,-39.95
2026-04-30,Transfer to Statement Savings xfer,-250.00
2026-04-30,Payroll - Meridian Mechanical Contractors LLC DIRECT DEP,4939.82
2026-04-30,Payroll - NW Allen County Schools DIRECT DEP,685.55
