posting_date,transaction_date,description,merchant_category,type,amount,running_balance,check_number,reference_id,channel
2025-01-01,2025-01-01,ACH PADUCAH BANK — MORTGAGE PMT,Mortgage,Debit,-585.00,8835.00,,FCB8797934947,ACH
2025-01-02,2025-01-02,OPERATING LINE — INTEREST CHARGE,Interest,Debit,-297.50,8537.50,,FCB8057512799,FEE
2025-01-02,2025-01-02,TRACTOR SUPPLY CO,Retail,Debit,-179.61,8357.89,,FCB4610814598,POS
2025-01-03,2025-01-03,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,9408.36,,FCB5061256225,ACH
2025-01-03,2025-01-03,CIRCLE K,Auto fuel,Debit,-69.47,9338.89,,FCB5916094386,POS
2025-01-05,2025-01-05,ACH FARM CREDIT MID-AMERICA — EQUIP LOAN,Loan payment,Debit,-1145.74,8193.15,,FCB8628908095,ACH
2025-01-05,2025-01-05,NETFLIX / DISNEY+ / SPOTIFY,Subscriptions,Debit,-46.97,8146.18,,FCB2506170276,ACH
2025-01-05,2025-01-05,SAVE-A-LOT,Groceries,Debit,-123.63,8022.55,,FCB1929628972,POS
2025-01-06,2025-01-06,VENMO — CALEB (COLLEGE SPENDING),College,Debit,-223.79,7798.76,,FCB1873185032,ACH
2025-01-08,2025-01-08,VERIZON WIRELESS,Phone,Debit,-188.45,7610.31,,FCB3596957266,ACH
2025-01-09,2025-01-09,WALMART SUPERCENTER,Groceries,Debit,-102.87,7507.44,,FCB5643716467,POS
2025-01-10,2025-01-10,MURRAY STATE UNIV — BURSAR TUITION,College,Debit,-4180.00,3327.44,,FCB8508776976,ACH
2025-01-11,2025-01-11,CVS PHARMACY,Health,Debit,-66.93,3260.51,,FCB5308205879,POS
2025-01-12,2025-01-12,MURRAY STATE — HOUSING/MEAL PLAN,College,Debit,-3250.00,10.51,,FCB8146021080,ACH
2025-01-12,2025-01-12,WEST KY RECC — HOME ELECTRIC,Home utilities,Debit,-244.20,-233.69,,FCB2931174820,ACH
2025-01-13,2025-01-13,ALDI PADUCAH,Groceries,Debit,-112.82,-346.51,,FCB5978811834,POS
2025-01-13,2025-01-13,SHELL PADUCAH,Auto fuel,Debit,-62.36,-408.87,,FCB8357961414,POS
2025-01-14,2025-01-14,DEPOSIT BLUEGRASS GRAIN ELEVATOR — CORN,Farm income,Credit,38420.00,38011.13,,FCB5942839071,DEP
2025-01-16,2025-01-16,WEST KY RECC / PROPANE — FARM,Farm expense,Debit,-331.45,37679.68,,FCB9681616278,ACH
2025-01-17,2025-01-17,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,38730.15,,FCB7958121604,ACH
2025-01-17,2025-01-17,AMAZON.COM,Retail,Debit,-67.04,38663.11,,FCB9765453461,POS
2025-01-19,2025-01-19,WALMART SUPERCENTER,Groceries,Debit,-165.64,38497.47,,FCB7406623560,POS
2025-01-20,2025-01-20,KY FARM BUREAU — DUES,Farm expense,Debit,-900.00,37597.47,,FCB2170195251,POS
2025-01-20,2025-01-20,OPERATING LINE — PRINCIPAL PAYMENT,LOC paydown,Debit,-4000.00,33597.47,,FCB8306456160,ACH
2025-01-22,2025-01-22,PADUCAH WATER / MEDIACOM INTERNET,Home utilities,Debit,-142.27,33455.20,,FCB9521763049,ACH
2025-01-24,2025-01-24,WALMART SUPERCENTER,Groceries,Debit,-133.28,33321.92,,FCB8232236593,POS
2025-01-25,2025-01-25,OWNER DRAW / ATM — HARTWELL FAMILY,Owner draw,Debit,-1020.87,32301.05,,FCB4454324011,ATM
2025-01-29,2025-01-29,WALMART SUPERCENTER,Groceries,Debit,-204.72,32096.33,,FCB4686218153,POS
2025-01-31,2025-01-31,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,33146.80,,FCB9918693325,ACH
2025-02-01,2025-02-01,ACH PADUCAH BANK — MORTGAGE PMT,Mortgage,Debit,-585.00,32561.80,,FCB3454741254,ACH
2025-02-02,2025-02-02,OPERATING LINE — INTEREST CHARGE,Interest,Debit,-283.33,32278.47,,FCB6741690915,FEE
2025-02-02,2025-02-02,TRI-COUNTY FARM FUELS — BULK DELIVERY,Fuel,Debit,-2122.98,30155.49,,FCB1231414608,ACH
2025-02-02,2025-02-02,WALMART SUPERCENTER,Groceries,Debit,-100.30,30055.19,,FCB1518624437,POS
2025-02-05,2025-02-05,ACH FARM CREDIT MID-AMERICA — EQUIP LOAN,Loan payment,Debit,-1145.74,28909.45,,FCB8992540208,ACH
2025-02-05,2025-02-05,NETFLIX / DISNEY+ / SPOTIFY,Subscriptions,Debit,-46.97,28862.48,,FCB5797224077,ACH
2025-02-06,2025-02-06,VENMO — CALEB (COLLEGE SPENDING),College,Debit,-224.91,28637.57,,FCB4301689960,ACH
2025-02-08,2025-02-08,VERIZON WIRELESS,Phone,Debit,-188.45,28449.12,,FCB8637397507,ACH
2025-02-10,2025-02-10,SAVE-A-LOT,Groceries,Debit,-194.90,28254.22,,FCB4076680173,POS
