posting_date,transaction_date,description,merchant_category,type,amount,running_balance,check_number,reference_id,channel,location
2026-01-01,2026-01-01,RIO GRANDE MTG SVCG AUTOPAY,Mortgage,debit,-1360.25,7059.75,,SLFCU00520031,ACH,
2026-01-02,2026-01-02,APPLE.COM/BILL ICLOUD,Digital Svc,debit,-2.99,7056.76,,SLFCU00520061,POS,
2026-01-03,2026-01-03,TRANSFER TO SAVINGS ****9042,Transfer,debit,-400.00,6656.76,,SLFCU00520101,XFER,
2026-01-03,2026-01-03,PNM ELECTRIC PYMT,Utilities,debit,-151.22,6505.54,,SLFCU00520140,ACH,
2026-01-03,2026-01-03,MESA VIEW MED GRP ABQ NM,Medical,debit,-344.84,6160.70,,SLFCU00520153,POS,Albuquerque NM
2026-01-04,2026-01-04,MARY & TITOS ABQ NM,Dining,debit,-43.23,6117.47,,SLFCU00520161,POS,Albuquerque NM
2026-01-04,2026-01-04,MODELO CAFE ABQ NM,Dining,debit,-56.46,6061.01,,SLFCU00520173,POS,Albuquerque NM
2026-01-05,2026-01-05,CORDILLERA FED LOAN SVCG PLUS,Loan Pmt,debit,-226.43,5834.58,,SLFCU00520224,ACH,
2026-01-05,2026-01-05,LAGUNA BURGER ABQ NM,Dining,debit,-47.57,5787.01,,SLFCU00520246,POS,Albuquerque NM
2026-01-06,2026-01-06,DEFINED FITNESS ABQ,Health Club,debit,-44.00,5743.01,,SLFCU00520279,POS,
2026-01-06,2026-01-06,SMITHS FOOD #1180 ABQ NM,Groceries,debit,-125.49,5617.52,,SLFCU00520288,POS,Albuquerque NM
2026-01-08,2026-01-08,NETFLIX.COM,Streaming,debit,-22.99,5594.53,,SLFCU00520318,POS,
2026-01-08,2026-01-08,SAMS FUEL #8841 ABQ NM,Fuel,debit,-68.15,5526.38,,SLFCU00520347,POS,Albuquerque NM
2026-01-09,2026-01-09,NEW MEXICO GAS CO,Utilities,debit,-64.18,5462.20,,SLFCU00520358,ACH,
2026-01-11,2026-01-11,COMCAST XFINITY,Telecom,debit,-89.99,5372.21,,SLFCU00520391,ACH,
2026-01-12,2026-01-12,Spotify USA,Streaming,debit,-11.99,5360.22,,SLFCU00520416,POS,
2026-01-13,2026-01-13,COSTCO GAS #1102 ABQ NM,Fuel,debit,-51.75,5308.47,,SLFCU00520435,POS,Albuquerque NM
2026-01-14,2026-01-14,ABCWUA WATER/SEWER,Utilities,debit,-52.88,5255.59,,SLFCU00520451,ACH,
2026-01-15,2026-01-15,PAYROLL DIRECT DEP SANDIA VISTA SCH,Payroll,credit,2837.44,8093.03,,SLFCU00520485,ACH,Albuquerque NM
2026-01-16,2026-01-16,CHECK PAID,Check,debit,-240.62,7852.41,1041,SLFCU00520535,CHECK,
2026-01-17,2026-01-17,VERIZON WIRELESS,Telecom,debit,-121.44,7730.97,,SLFCU00520548,ACH,
2026-01-18,2026-01-18,ATM WITHDRAWAL SANDIA LAGUNA FCU,Cash,debit,-160.00,7570.97,,SLFCU00520558,ATM,Albuquerque NM
2026-01-19,2026-01-19,LA MONTANITA COOP #3 ABQ NM,Groceries,debit,-171.94,7399.03,,SLFCU00520578,POS,Albuquerque NM
2026-01-20,2026-01-20,NYTIMES DIGITAL,News/Media,debit,-17.00,7382.03,,SLFCU00520623,POS,
2026-01-21,2026-01-21,MESA VIEW MED GRP ABQ NM,Medical,debit,-315.90,7066.13,,SLFCU00520643,POS,Albuquerque NM
2026-01-23,2026-01-23,ALON 7-ELEVEN #2241 ABQ NM,Fuel,debit,-71.34,6994.79,,SLFCU00520657,POS,Albuquerque NM
2026-01-24,2026-01-24,KELLERS FARM STORES ABQ NM,Groceries,debit,-92.57,6902.22,,SLFCU00520666,POS,Albuquerque NM
2026-01-27,2026-01-27,WHOLE FOODS #10112 ABQ NM,Groceries,debit,-178.61,6723.61,,SLFCU00520695,POS,Albuquerque NM
2026-01-31,2026-01-31,PAYROLL DIRECT DEP SANDIA VISTA SCH,Payroll,credit,2837.44,9561.05,,SLFCU00520734,ACH,Albuquerque NM
2026-01-31,2026-01-31,INTEREST PAID SAVINGS ****9042,Interest,credit,39.50,9600.55,,SLFCU00520776,INT,
2026-02-01,2026-02-01,RIO GRANDE MTG SVCG AUTOPAY,Mortgage,debit,-1360.25,8240.30,,SLFCU00520804,ACH,
2026-02-02,2026-02-02,APPLE.COM/BILL ICLOUD,Digital Svc,debit,-2.99,8237.31,,SLFCU00520845,POS,
2026-02-02,2026-02-02,ALBERTSONS #994 ABQ NM,Groceries,debit,-116.10,8121.21,,SLFCU00520877,POS,Albuquerque NM
2026-02-02,2026-02-02,LAGUNA BURGER ABQ NM,Dining,debit,-35.72,8085.49,,SLFCU00520926,POS,Albuquerque NM
2026-02-03,2026-02-03,TRANSFER TO SAVINGS ****9042,Transfer,debit,-400.00,7685.49,,SLFCU00520946,XFER,
2026-02-03,2026-02-03,PNM ELECTRIC PYMT,Utilities,debit,-138.94,7546.55,,SLFCU00520984,ACH,
2026-02-05,2026-02-05,CORDILLERA FED LOAN SVCG PLUS,Loan Pmt,debit,-226.43,7320.12,,SLFCU00521024,ACH,
2026-02-06,2026-02-06,DEFINED FITNESS ABQ,Health Club,debit,-44.00,7276.12,,SLFCU00521042,POS,
2026-02-07,2026-02-07,ALON 7-ELEVEN #2241 ABQ NM,Fuel,debit,-53.14,7222.98,,SLFCU00521071,POS,Albuquerque NM
2026-02-08,2026-02-08,NETFLIX.COM,Streaming,debit,-22.99,7199.99,,SLFCU00521108,POS,
2026-02-08,2026-02-08,CORONADO HOME HEALTH ABQ NM,Medical,debit,-473.40,6726.59,,SLFCU00521161,POS,Albuquerque NM
2026-02-09,2026-02-09,NEW MEXICO GAS CO,Utilities,debit,-58.22,6668.37,,SLFCU00521171,ACH,
2026-02-09,2026-02-09,ATM WITHDRAWAL SANDIA LAGUNA FCU,Cash,debit,-100.00,6568.37,,SLFCU00521218,ATM,Albuquerque NM
2026-02-10,2026-02-10,ALON 7-ELEVEN #2241 ABQ NM,Fuel,debit,-60.27,6508.10,,SLFCU00521231,POS,Albuquerque NM
2026-02-11,2026-02-11,COMCAST XFINITY,Telecom,debit,-89.99,6418.11,,SLFCU00521266,ACH,
2026-02-12,2026-02-12,Spotify USA,Streaming,debit,-11.99,6406.12,,SLFCU00521287,POS,
2026-02-14,2026-02-14,ABCWUA WATER/SEWER,Utilities,debit,-54.10,6352.02,,SLFCU00521325,ACH,
2026-02-15,2026-02-15,PAYROLL DIRECT DEP SANDIA VISTA SCH,Payroll,credit,2837.44,9189.46,,SLFCU00521346,ACH,Albuquerque NM
2026-02-17,2026-02-17,VERIZON WIRELESS,Telecom,debit,-121.44,9068.02,,SLFCU00521381,ACH,
2026-02-17,2026-02-17,KELLERS FARM STORES ABQ NM,Groceries,debit,-77.78,8990.24,,SLFCU00521419,POS,Albuquerque NM
2026-02-19,2026-02-19,MARY & TITOS ABQ NM,Dining,debit,-41.21,8949.03,,SLFCU00521456,POS,Albuquerque NM
2026-02-20,2026-02-20,NYTIMES DIGITAL,News/Media,debit,-17.00,8932.03,,SLFCU00521471,POS,
2026-02-20,2026-02-20,TRADER JOES #201 ABQ NM,Groceries,debit,-181.01,8751.02,,SLFCU00521507,POS,Albuquerque NM
2026-02-20,2026-02-20,CHEVRON #2294 ABQ NM,Fuel,debit,-68.40,8682.62,,SLFCU00521551,POS,Albuquerque NM
2026-02-20,2026-02-20,FLYING STAR CAFE ABQ NM,Dining,debit,-10.87,8671.75,,SLFCU00521577,POS,Albuquerque NM
2026-02-21,2026-02-21,CHECK PAID,Check,debit,-249.95,8421.80,1042,SLFCU00521596,CHECK,
2026-02-24,2026-02-24,CORONADO HOME HEALTH ABQ NM,Medical,debit,-157.00,8264.80,,SLFCU00521642,POS,Albuquerque NM
2026-02-26,2026-02-26,WHOLE FOODS #10112 ABQ NM,Groceries,debit,-159.26,8105.54,,SLFCU00521655,POS,Albuquerque NM
2026-02-28,2026-02-28,PAYROLL DIRECT DEP SANDIA VISTA SCH,Payroll,credit,2837.44,10942.98,,SLFCU00521672,ACH,Albuquerque NM
2026-02-28,2026-02-28,INTEREST PAID SAVINGS ****9042,Interest,credit,41.00,10983.98,,SLFCU00521700,INT,
2026-03-01,2026-03-01,RIO GRANDE MTG SVCG AUTOPAY,Mortgage,debit,-1360.25,9623.73,,SLFCU00521713,ACH,
2026-03-02,2026-03-02,APPLE.COM/BILL ICLOUD,Digital Svc,debit,-2.99,9620.74,,SLFCU00521739,POS,
2026-03-03,2026-03-03,TRANSFER TO SAVINGS ****9042,Transfer,debit,-400.00,9220.74,,SLFCU00521761,XFER,
2026-03-03,2026-03-03,PNM ELECTRIC PYMT,Utilities,debit,-142.10,9078.64,,SLFCU00521811,ACH,
2026-03-05,2026-03-05,CORDILLERA FED LOAN SVCG PLUS,Loan Pmt,debit,-226.43,8852.21,,SLFCU00521837,ACH,
2026-03-06,2026-03-06,DEFINED FITNESS ABQ,Health Club,debit,-44.00,8808.21,,SLFCU00521886,POS,
2026-03-06,2026-03-06,MARY & TITOS ABQ NM,Dining,debit,-14.88,8793.33,,SLFCU00521910,POS,Albuquerque NM
2026-03-07,2026-03-07,LAGUNA BURGER ABQ NM,Dining,debit,-48.68,8744.65,,SLFCU00521918,POS,Albuquerque NM
2026-03-08,2026-03-08,NETFLIX.COM,Streaming,debit,-22.99,8721.66,,SLFCU00521929,POS,
2026-03-09,2026-03-09,NEW MEXICO GAS CO,Utilities,debit,-41.07,8680.59,,SLFCU00521978,ACH,
2026-03-11,2026-03-11,COMCAST XFINITY,Telecom,debit,-89.99,8590.60,,SLFCU00521988,ACH,
2026-03-12,2026-03-12,Spotify USA,Streaming,debit,-11.99,8578.61,,SLFCU00522030,POS,
2026-03-13,2026-03-13,ALBERTSONS #994 ABQ NM,Groceries,debit,-95.41,8483.20,,SLFCU00522065,POS,Albuquerque NM
2026-03-14,2026-03-14,ABCWUA WATER/SEWER,Utilities,debit,-55.32,8427.88,,SLFCU00522095,ACH,
2026-03-15,2026-03-15,PAYROLL DIRECT DEP SANDIA VISTA SCH,Payroll,credit,2837.44,11265.32,,SLFCU00522138,ACH,Albuquerque NM
2026-03-15,2026-03-15,CHECK PAID,Check,debit,-102.71,11162.61,1043,SLFCU00522156,CHECK,
2026-03-17,2026-03-17,VERIZON WIRELESS,Telecom,debit,-124.18,11038.43,,SLFCU00522185,ACH,
2026-03-18,2026-03-18,TRADER JOES #201 ABQ NM,Groceries,debit,-123.53,10914.90,,SLFCU00522206,POS,Albuquerque NM
2026-03-18,2026-03-18,ATM WITHDRAWAL SANDIA LAGUNA FCU,Cash,debit,-160.00,10754.90,,SLFCU00522259,ATM,Albuquerque NM
2026-03-18,2026-03-18,SPROUTS FMKT #417 ABQ NM,Groceries,debit,-128.44,10626.46,,SLFCU00522274,POS,Albuquerque NM
