posting_date,transaction_date,description,merchant_category,type,amount,running_balance,check_number,reference_id,channel
2025-01-03,2025-01-03,MERCHANT BANKCARD DEP — CLOVER TULLY BATCH 452082,Card settlement,CREDIT,14597.82,165927.23,,79077287458,DEPOSIT
2025-01-05,2025-01-05,CHECK — RENT 1885 Tully Rd — TRAN QUOC DUNG,Rent,DEBIT,-2000.00,163927.23,4101,39139047286,CHECK
2025-01-05,2025-01-05,CHECK — RENT 1885 Tully Rd — VO KIM OANH,Rent,DEBIT,-2000.00,161927.23,4102,88275188767,CHECK
2025-01-05,2025-01-05,CHECK — RENT 2402 Story Rd — TRAN QUOC DUNG,Rent,DEBIT,-2000.00,159927.23,4103,94267269415,CHECK
2025-01-05,2025-01-05,CHECK — RENT 2402 Story Rd — VO KIM OANH,Rent,DEBIT,-2000.00,157927.23,4104,11292641566,CHECK
2025-01-05,2025-01-05,CHECK — RENT 1190 McLaughlin Ave — TRAN QUOC DUNG,Rent,DEBIT,-2000.00,155927.23,4105,81143727473,CHECK
2025-01-05,2025-01-05,CHECK — RENT 1190 McLaughlin Ave — VO KIM OANH,Rent,DEBIT,-2000.00,153927.23,4106,70402807242,CHECK
2025-01-07,2025-01-07,MERCHANT BANKCARD DEP — CLOVER STORY BATCH 408263,Card settlement,CREDIT,19648.46,173575.69,,88733369720,DEPOSIT
2025-01-09,2025-01-09,ACH — SUNRISE BEAUTY SUPPLY  DISTRIBUTOR INV,Supplies,DEBIT,-12708.33,160867.36,,69422115520,ACH
2025-01-11,2025-01-11,MERCHANT BANKCARD DEP — CLOVER MCLAUGHLIN BATCH 427000,Card settlement,CREDIT,15029.87,175897.23,,30388872912,DEPOSIT
2025-01-12,2025-01-12,ACH PMT — PACIFIC CREST COMMUNITY BANK LOAN XXXXXX7744,Loan payment,DEBIT,-782.65,175114.58,,11722832531,ACH
2025-01-14,2025-01-14,MERCHANT BANKCARD DEP — CLOVER TULLY BATCH 474341,Card settlement,CREDIT,11465.90,186580.48,,98934021249,DEPOSIT
2025-01-15,2025-01-15,ACH — PAYROLL  JADE LOTUS  NET WAGES,Payroll,DEBIT,-22750.00,163830.48,,17414486658,ACH
2025-01-17,2025-01-17,MERCHANT BANKCARD DEP — CLOVER STORY BATCH 470726,Card settlement,CREDIT,11191.23,175021.71,,60340353397,DEPOSIT
