posting_date,transaction_date,description,merchant_category,type,amount,running_balance,channel,reference_id,location
2025-01-01,2025-01-01,ACH MORTGAGE FIRSTMERIDIAN LN0731 250101,Mortgage,debit,-4569.67,16880.33,ACH,770996,
2025-01-03,2025-01-03,PEPCO ENERGY BILLPAY JAN-25,Utilities,debit,-191.04,16689.29,ACH,818646,
2025-01-04,2025-01-04,WASHINGTON GAS BILLPAY JAN-25,Utilities,debit,-178.0,16511.29,ACH,075395,
2025-01-05,2025-01-05,DC WATER BILLPAY JAN-25,Utilities,debit,-113.82,16397.47,ACH,435010,
2025-01-06,2025-01-06,ACH PAYROLL CARRASCO-VEGA 250106,Household Payroll,debit,-1939.35,14458.12,ACH,186452,
2025-01-06,2025-01-06,VERIZON FIOS INTERNET JAN-25,Utilities,debit,-89.99,14368.13,ACH,943661,
2025-01-07,2025-01-07,VERIZON WIRELESS PMT JAN-25,Utilities,debit,-181.77,14186.36,ACH,031721,
2025-01-07,2025-01-07,NETFLIX.COM,Streaming,debit,-24.99,14161.37,POS,415763,
2025-01-07,2025-01-07,SHELL OIL 14TH ST WASHINGTON DC 5009,Transportation,debit,-77.5,14083.87,POS,951080,Washington DC
2025-01-08,2025-01-08,SPOTIFY USA FAMILY,Streaming,debit,-19.99,14063.88,POS,822901,
2025-01-09,2025-01-09,NYTIMES DIGITAL SUBSCR,News/Media,debit,-25.0,14038.88,POS,621934,
2025-01-09,2025-01-09,EXXON 2200 NY AVE WASHINGTON DC 8421,Transportation,debit,-19.89,14018.99,POS,661142,Washington DC
2025-01-10,2025-01-10,TRANSFER FROM SAVINGS XXXXXX6620 158794,Transfer,credit,0.0,14018.99,ACH,179096,
2025-01-10,2025-01-10,TRANSFER FROM SAVINGS XXXXXX6620 260202,Transfer,credit,12000.0,26018.99,ACH,591054,
2025-01-10,2025-01-10,ACH TUITION CATHEDRAL HTS 250110,Education,debit,-12000.0,14018.99,ACH,525425,
2025-01-10,2025-01-10,APPLE.COM/BILL ICLOUD,Software,debit,-9.99,14009.0,POS,767457,
2025-01-10,2025-01-10,SAFEWAY #1410 WASHINGTON DC 7910,Groceries,debit,-244.69,13764.31,POS,058579,Washington DC
2025-01-10,2025-01-10,TARGET #2718 COLUMBIA HTS WASHINGTON DC 7314,Shopping,debit,-241.8,13522.51,POS,114143,Washington DC
2025-01-11,2025-01-11,PELOTON MEMBERSHIP,Health/Fitness,debit,-44.0,13478.51,POS,848172,
2025-01-12,2025-01-12,DISNEY PLUS,Streaming,debit,-15.99,13462.52,POS,180695,
2025-01-12,2025-01-12,UBER TRIP WASHINGTON DC 7522,Transportation,debit,-24.29,13438.23,POS,608237,Washington DC
2025-01-15,2025-01-15,DIR DEP DOJ NFC PAY PPD250115,Payroll,credit,4745.56,18183.79,ACH,910640,
2025-01-15,2025-01-15,DIR DEP POTOMAC GEN PAYROLL 250115,Payroll,credit,5727.85,23911.64,ACH,507061,
2025-01-21,2025-01-21,ACH PAYROLL CARRASCO-VEGA 250121,Household Payroll,debit,-1939.35,21972.29,ACH,268694,
2025-01-22,2025-01-22,ZELLE PMT TO SITTER PETTY CASH 910382,Transfer,debit,-77.9,21894.39,ACH,931750,
