posting_date,transaction_date,description,merchant_category,type,amount,running_balance,reference_id,channel
2025-01-01,2025-01-01,EASTSIDE WORKLOFT LEASE,Home,DEBIT,-1500.00,7543.18,PMT121864,ACH
2025-01-01,2025-01-01,SAM ASH 77 FRANKLIN TN HCZD,Shopping,DEBIT,-35.98,7507.20,DBT384953,ACH
2025-01-01,2025-01-01,BAR SOVEREIGN #84564,Food & Dining,DEBIT,-30.80,7476.40,DBT248658,POS
2025-01-05,2025-01-05,BLUECROSS BLUESHIELD TN PREM,Insurance,DEBIT,-385.00,7091.40,PMT545982,ACH
2025-01-06,2025-01-05,MASTERCLASS FRANKLIN TN XWFQ,Education,DEBIT,-63.27,7028.13,DBT783866,POS
2025-01-07,2025-01-05,CLARION GEAR INSURANCE,Insurance,DEBIT,-54.22,6973.91,DBT937868,CARD
2025-01-08,2025-01-07,SAM ASH 77 #43178,Shopping,DEBIT,-29.55,6944.36,DBT198371,ACH
2025-01-09,2025-01-09,MERIDIAN SOUND ROYALTY ACH M01P9,Income,CREDIT,7800.00,14744.36,DEP248379,ACH
2025-01-09,2025-01-07,NASH HOUSE CAFE ATLANTA GA 0RL0,Food & Dining,DEBIT,-20.63,14723.73,DBT939659,POS
2025-01-10,2025-01-10,SODELICE #30905,Food & Dining,DEBIT,-30.43,14693.30,DBT474653,ACH
2025-01-11,2025-01-11,FANNYS HOUSE OF MUSIC #64284,Services,DEBIT,-73.26,14620.04,DBT221781,POS
2025-01-11,2025-01-09,GUITAR CENTER 219 MEMPHIS TN Y108,Shopping,DEBIT,-25.23,14594.81,DBT492707,CARD
2025-01-11,2025-01-11,FROTHY MONKEY MEMPHIS TN 2YI6,Food & Dining,DEBIT,-30.46,14564.35,DBT748207,ACH
2025-01-12,2025-01-11,BELLWETHER STUDIOS PMT INV2325,Income,CREDIT,1302.65,15867.00,DEP119918,ACH
2025-01-12,2025-01-10,SUMMIT ONE CARD PYMT,Transfer,DEBIT,-1204.16,14662.84,PMT407811,ACH
2025-01-12,2025-01-12,META ADS *BILL NSH TN MYP1,Services,DEBIT,-176.33,14486.51,DBT674493,ACH
2025-01-12,2025-01-11,CLARION GEAR INSURANCE,Insurance,DEBIT,-44.71,14441.80,DBT850237,CARD
2025-01-12,2025-01-11,ATM WITHDRAWAL #5659,Personal,DEBIT,-117.60,14324.20,DBT905626,POS
2025-01-13,2025-01-12,UPS STORE 6210 #69711,Shopping,DEBIT,-51.94,14272.26,DBT781143,CARD
2025-01-14,2025-01-14,SWEETWATER FINANCING PMT,Loans,DEBIT,-111.11,14161.15,PMT885459,ACH
2025-01-14,2025-01-14,IZOTOPE INC #28355,Bills & Utilities,DEBIT,-49.97,14111.18,DBT475572,ACH
2025-01-14,2025-01-13,IZOTOPE INC #97118,Bills & Utilities,DEBIT,-71.76,14039.42,DBT504276,POS
2025-01-15,2025-01-15,NES NASHVILLE ELECTRIC,Bills & Utilities,DEBIT,-76.35,13963.07,DBT936130,CARD
2025-01-15,2025-01-13,ATM WITHDRAWAL #4250,Personal,DEBIT,-152.01,13811.06,DBT508089,ATM
2025-01-18,2025-01-16,MASTERCLASS #96629,Education,DEBIT,-113.73,13697.33,DBT616362,CARD
