posting_date,transaction_date,description,merchant_category,type,amount,running_balance,check_number,reference_id,channel,location
2025-01-01,2025-01-01,ZELLE TO AKERMAN PROPERTIES  RENT,Rent,DEBIT,-2200.00,8020.54,,AC100001,ACH,Miami FL
2025-01-03,2025-01-03,ZELLE FROM J RIVERA,Transfer,CREDIT,1100.00,9120.54,,AC100002,ACH,Miami FL
2025-01-03,2025-01-02,WHOLE FOODS MKT BRICKELL #6168 CORAL GABLES FL,Groceries,DEBIT,-65.37,9055.17,,PO100003,POS,DORAL FL
2025-01-05,2025-01-04,NETFLIX.COM,Subscriptions,DEBIT,-15.99,9039.18,,PO100004,POS,Miami FL
2025-01-06,2025-01-05,Spotify USA,Subscriptions,DEBIT,-11.99,9027.19,,PO100005,POS,Miami FL
2025-01-06,2025-01-05,TRADER JOE'S #748 #4527 DORAL FL,Groceries,DEBIT,-91.28,8935.91,,PO100006,POS,MIAMI FL
2025-01-07,2025-01-06,OpenAI ChatGPT Plus,Subscriptions,DEBIT,-20.00,8915.91,,PO100007,POS,Miami FL
2025-01-08,2025-01-08,FPL ELECTRIC  AUTOPAY,Utilities,DEBIT,-128.44,8787.47,,AC100008,ACH,Miami FL
2025-01-08,2025-01-07,Apple iCloud+,Subscriptions,DEBIT,-2.99,8784.48,,PO100009,POS,Miami FL
2025-01-08,2025-01-07,WHOLE FOODS MKT BRICKELL #4811 WYNWOOD FL,Groceries,DEBIT,-18.94,8765.54,,PO100010,POS,WYNWOOD FL
2025-01-09,2025-01-09,XFINITY  INTERNET AUTOPAY,Utilities,DEBIT,-79.99,8685.55,,AC100011,ACH,Miami FL
2025-01-09,2025-01-08,NYTimes Digital,Subscriptions,DEBIT,-4.25,8681.30,,PO100012,POS,Miami FL
2025-01-09,2025-01-08,CHIPOTLE 2841 #5741 MIAMI FL,Restaurants,DEBIT,-22.68,8658.62,,PO100013,POS,BRICKELL FL
2025-01-09,2025-01-08,SHELL OIL 57544 #3677 CORAL GABLES FL,Gas & Transport,DEBIT,-136.45,8522.17,,PO100014,POS,CORAL GABLES FL
2025-01-10,2025-01-10,MIAMI-DADE WATER & SEWER,Utilities,DEBIT,-41.20,8480.97,,AC100015,ACH,Miami FL
2025-01-10,2025-01-09,IRON PARADISE GYM,Health & Fitness,DEBIT,-49.00,8431.97,,PO100016,POS,Miami FL
2025-01-10,2025-01-09,STARBUCKS STORE 119 #5012 BRICKELL FL,Restaurants,DEBIT,-17.83,8414.14,,PO100017,POS,BRICKELL FL
2025-01-10,2025-01-09,MIAMI PARKING AUTH #2169 WYNWOOD FL,Gas & Transport,DEBIT,-60.82,8353.32,,PO100018,POS,MIAMI BEACH FL
2025-01-12,2025-01-12,T-MOBILE  AUTOPAY,Utilities,DEBIT,-85.00,8268.32,,AC100019,ACH,Miami FL
2025-01-13,2025-01-12,CHIPOTLE 2841 #6635 WYNWOOD FL,Restaurants,DEBIT,-100.52,8167.80,,PO100020,POS,DORAL FL
2025-01-15,2025-01-15,PAYLANTIC PAYROLL  MARLIN BAY MEDIA  DIRECT DEP,Income,CREDIT,2252.23,10420.03,,AC100021,ACH,Miami FL
2025-01-16,2025-01-15,STARBUCKS STORE 119 #6977 BRICKELL FL,Restaurants,DEBIT,-100.57,10319.46,,PO100022,POS,DORAL FL
2025-01-17,2025-01-17,CRESTLINE EDU LOAN  AUTOPAY  ****3092,Loan Payment,DEBIT,-212.00,10107.46,,AC100023,ACH,Miami FL
2025-01-18,2025-01-17,SOUTHWEST AIR 5582  AIRFARE,Travel,DEBIT,-318.40,9789.06,,PO100024,POS,Miami FL
2025-01-19,2025-01-18,STARBUCKS STORE 119 #2424 WYNWOOD FL,Restaurants,DEBIT,-169.67,9619.39,,PO100025,POS,CORAL GABLES FL
2025-01-19,2025-01-18,WHOLE FOODS MKT BRICKELL #3045 CORAL GABLES FL,Groceries,DEBIT,-182.03,9437.36,,PO100026,POS,MIAMI FL
2025-01-19,2025-01-18,UBER EATS #9830 DORAL FL,Restaurants,DEBIT,-69.46,9367.90,,PO100027,POS,MIAMI BEACH FL
2025-01-20,2025-01-20,LUMEN BANK CARD  AUTOPAY  ****6058,Credit Card Payment,DEBIT,-250.00,9117.90,,AC100028,ACH,Miami FL
2025-01-20,2025-01-19,CHIPOTLE 2841 #6155 BRICKELL FL,Restaurants,DEBIT,-61.16,9056.74,,PO100029,POS,MIAMI BEACH FL
2025-01-21,2025-01-20,TARGET 00027931 #6925 WYNWOOD FL,Shopping,DEBIT,-205.25,8851.49,,PO100030,POS,BRICKELL FL
2025-01-22,2025-01-21,AMAZON MKTPL US*RT #4598 MIAMI BEACH FL,Shopping,DEBIT,-242.56,8608.93,,PO100031,POS,DORAL FL
2025-01-22,2025-01-21,WALGREENS 4471 #8517 BRICKELL FL,Health,DEBIT,-104.18,8504.75,,PO100032,POS,DORAL FL
2025-01-24,2025-01-23,PUBLIX SUPER MARKET #0312 #9928 CORAL GABLES FL,Groceries,DEBIT,-142.77,8361.98,,PO100033,POS,BRICKELL FL
2025-01-27,2025-01-26,APPLE.COM/BILL #1106 BRICKELL FL,Shopping,DEBIT,-149.30,8212.68,,PO100034,POS,MIAMI BEACH FL
2025-01-28,2025-01-28,TRANSFER TO SAVINGS  ****8820,Transfer,DEBIT,-400.00,7812.68,,XF100035,XFER,Miami FL
2025-01-31,2025-01-31,PAYLANTIC PAYROLL  MARLIN BAY MEDIA  DIRECT DEP,Income,CREDIT,2252.23,10064.91,,AC100036,ACH,Miami FL
2025-02-01,2025-02-01,ZELLE TO AKERMAN PROPERTIES  RENT,Rent,DEBIT,-2200.00,7864.91,,AC100037,ACH,Miami FL
2025-02-02,2025-02-01,CVS/PHARMACY 06441 #2163 MIAMI BEACH FL,Health,DEBIT,-149.11,7715.80,,PO100038,POS,MIAMI BEACH FL
2025-02-03,2025-02-03,ZELLE FROM J RIVERA,Transfer,CREDIT,1100.00,8815.80,,AC100039,ACH,Miami FL
2025-02-03,2025-02-02,WALGREENS 4471 #2796 BRICKELL FL,Health,DEBIT,-33.18,8782.62,,PO100040,POS,MIAMI BEACH FL
2025-02-03,2025-02-02,WHOLE FOODS MKT BRICKELL #6413 MIAMI FL,Groceries,DEBIT,-65.34,8717.28,,PO100041,POS,WYNWOOD FL
2025-02-05,2025-02-04,NETFLIX.COM,Subscriptions,DEBIT,-15.99,8701.29,,PO100042,POS,Miami FL
2025-02-05,2025-02-04,DOORDASH*WENDYS #6947 DORAL FL,Restaurants,DEBIT,-125.85,8575.44,,PO100043,POS,BRICKELL FL
2025-02-06,2025-02-05,Spotify USA,Subscriptions,DEBIT,-11.99,8563.45,,PO100044,POS,Miami FL
2025-02-07,2025-02-06,OpenAI ChatGPT Plus,Subscriptions,DEBIT,-20.00,8543.45,,PO100045,POS,Miami FL
2025-02-07,2025-02-06,STARBUCKS STORE 119 #8433 MIAMI FL,Restaurants,DEBIT,-80.39,8463.06,,PO100046,POS,MIAMI BEACH FL
2025-02-07,2025-02-06,WALGREENS 4471 #5342 WYNWOOD FL,Health,DEBIT,-232.62,8230.44,,PO100047,POS,WYNWOOD FL
2025-02-08,2025-02-08,FPL ELECTRIC  AUTOPAY,Utilities,DEBIT,-128.44,8102.00,,AC100048,ACH,Miami FL
2025-02-08,2025-02-07,Apple iCloud+,Subscriptions,DEBIT,-2.99,8099.01,,PO100049,POS,Miami FL
2025-02-09,2025-02-09,XFINITY  INTERNET AUTOPAY,Utilities,DEBIT,-79.99,8019.02,,AC100050,ACH,Miami FL
2025-02-09,2025-02-08,NYTimes Digital,Subscriptions,DEBIT,-4.25,8014.77,,PO100051,POS,Miami FL
2025-02-09,2025-02-08,APPLE.COM/BILL #2049 DORAL FL,Shopping,DEBIT,-40.19,7974.58,,PO100052,POS,MIAMI FL
2025-02-10,2025-02-10,MIAMI-DADE WATER & SEWER,Utilities,DEBIT,-41.20,7933.38,,AC100053,ACH,Miami FL
2025-02-10,2025-02-09,IRON PARADISE GYM,Health & Fitness,DEBIT,-49.00,7884.38,,PO100054,POS,Miami FL
2025-02-12,2025-02-12,T-MOBILE  AUTOPAY,Utilities,DEBIT,-85.00,7799.38,,AC100055,ACH,Miami FL
2025-02-12,2025-02-12,COINHAVEN MARKETS INC  ACH WITHDRAWAL,Transfer,CREDIT,3000.00,10799.38,,AC100056,ACH,Miami FL
2025-02-14,2025-02-13,TRADER JOE'S #748 #6930 BRICKELL FL,Groceries,DEBIT,-221.19,10578.19,,PO100057,POS,BRICKELL FL
2025-02-14,2025-02-13,NOBU MIAMI  DINING,Restaurants,DEBIT,-412.85,10165.34,,PO100058,POS,Miami FL
2025-02-15,2025-02-15,PAYLANTIC PAYROLL  MARLIN BAY MEDIA  DIRECT DEP,Income,CREDIT,2252.23,12417.57,,AC100059,ACH,Miami FL
2025-02-15,2025-02-14,SHELL OIL 57544 #2040 CORAL GABLES FL,Gas & Transport,DEBIT,-196.55,12221.02,,PO100060,POS,CORAL GABLES FL
2025-02-17,2025-02-17,CRESTLINE EDU LOAN  AUTOPAY  ****3092,Loan Payment,DEBIT,-212.00,12009.02,,AC100061,ACH,Miami FL
2025-02-18,2025-02-17,TARGET 00027931 #4258 BRICKELL FL,Shopping,DEBIT,-208.11,11800.91,,PO100062,POS,DORAL FL
2025-02-19,2025-02-18,APPLE.COM/BILL #1188 MIAMI BEACH FL,Shopping,DEBIT,-135.28,11665.63,,PO100063,POS,MIAMI BEACH FL
2025-02-19,2025-02-18,STARBUCKS STORE 119 #5371 MIAMI BEACH FL,Restaurants,DEBIT,-170.84,11494.79,,PO100064,POS,DORAL FL
2025-02-19,2025-02-18,TRADER JOE'S #748 #4295 MIAMI BEACH FL,Groceries,DEBIT,-236.70,11258.09,,PO100065,POS,DORAL FL
2025-02-20,2025-02-20,LUMEN BANK CARD  AUTOPAY  ****6058,Credit Card Payment,DEBIT,-250.00,11008.09,,AC100066,ACH,Miami FL
2025-02-20,2025-02-19,WHOLE FOODS MKT BRICKELL #2290 MIAMI FL,Groceries,DEBIT,-68.12,10939.97,,PO100067,POS,MIAMI BEACH FL
2025-02-22,2025-02-21,BRICKELL COFFEE CO #7118 CORAL GABLES FL,Restaurants,DEBIT,-243.87,10696.10,,PO100068,POS,WYNWOOD FL
2025-02-24,2025-02-23,BEST BUY 0477  ELECTRONICS,Shopping,DEBIT,-899.12,9796.98,,PO100069,POS,Miami FL
2025-02-26,2025-02-25,AMAZON MKTPL US*RT #3927 WYNWOOD FL,Shopping,DEBIT,-238.45,9558.53,,PO100070,POS,MIAMI FL
2025-02-26,2025-02-25,SHELL OIL 57544 #9689 MIAMI FL,Gas & Transport,DEBIT,-137.68,9420.85,,PO100071,POS,WYNWOOD FL
