posting_date,transaction_date,description,merchant_category,type,amount,running_balance,reference_id,channel
2026-01-01,2026-01-01,BALANCE FORWARD,,,,6200.00,,
2026-01-01,2026-01-01,MERIDIAN BANK CARD AUTOPAY ****7732,Credit Card Payment,DEBIT,-60.50,6139.50,480200001,ACH
2026-01-02,2026-01-02,ZELLE TO J. OKAFOR RENT SHARE,Rent,DEBIT,-1150.00,4989.50,480200002,ZELLE
2026-01-03,2026-01-03,COMED UTILITY BILL,Utilities,DEBIT,-71.70,4917.80,480200003,ACH
2026-01-03,2026-01-03,PEOPLES GAS,Utilities,DEBIT,-36.30,4881.50,480200004,ACH
2026-01-04,2026-01-04,JEWEL-OSCO #3421 CHICAGO IL,Groceries,DEBIT,-74.68,4806.82,480200005,POS
2026-01-05,2026-01-05,CHIPOTLE 1845 CHICAGO IL,Dining,DEBIT,-18.93,4787.89,480200006,POS
2026-01-06,2026-01-06,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,4757.89,480200007,POS
2026-01-07,2026-01-07,GREAT LAKES STUDENT LOANS PMT,Student Loan,DEBIT,-1847.00,2910.89,480200008,ACH
2026-01-08,2026-01-08,POTBELLY #14 CHICAGO IL,Dining,DEBIT,-28.57,2882.32,480200009,POS
2026-01-08,2026-01-08,SPOTIFY USA,Subscriptions,DEBIT,-11.99,2870.33,480200010,ACH
2026-01-08,2026-01-08,NETFLIX.COM,Subscriptions,DEBIT,-15.49,2854.84,480200011,ACH
2026-01-08,2026-01-08,LA FITNESS MEMBERSHIP,Subscriptions,DEBIT,-39.99,2814.85,480200012,ACH
2026-01-08,2026-01-08,APPLE.COM/BILL ICLOUD,Subscriptions,DEBIT,-2.99,2811.86,480200013,ACH
2026-01-08,2026-01-08,NYTIMES DIGITAL SUBSCRIPTION,Subscriptions,DEBIT,-4.25,2807.61,480200014,ACH
2026-01-08,2026-01-08,DOORDASH *DASHPASS,Subscriptions,DEBIT,-9.99,2797.62,480200015,ACH
2026-01-09,2026-01-09,TRADER JOES #688 CHICAGO IL,Groceries,DEBIT,-97.23,2700.39,480200016,POS
2026-01-11,2026-01-11,LOU MALNATI'S CHICAGO IL,Dining,DEBIT,-28.68,2671.71,480200017,POS
2026-01-13,2026-01-13,LYFT *RIDE,Transit,DEBIT,-18.77,2652.94,480200018,POS
2026-01-14,2026-01-14,MARIANO'S #512 CHICAGO IL,Groceries,DEBIT,-63.85,2589.09,480200019,POS
2026-01-14,2026-01-14,PORTILLO'S CHICAGO IL,Dining,DEBIT,-11.88,2577.21,480200020,POS
2026-01-14,2026-01-14,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,2547.21,480200021,POS
2026-01-15,2026-01-15,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,5473.33,480200022,ACH
2026-01-17,2026-01-17,STARBUCKS #221 CHICAGO IL,Dining,DEBIT,-7.34,5465.99,480200023,POS
2026-01-18,2026-01-18,TRANSFER TO BROKERAGE *FIDELITY,Transfers,DEBIT,-250.00,5215.99,480200024,ACH
2026-01-18,2026-01-18,TRANSFER TO SAVINGS *LAKESHORE,Transfers,DEBIT,-300.00,4915.99,480200025,ACH
2026-01-19,2026-01-19,WHOLE FOODS MKT CHICAGO IL,Groceries,DEBIT,-65.36,4850.63,480200026,POS
2026-01-19,2026-01-19,CVS PHARMACY #882 CHICAGO IL,Health,DEBIT,-25.87,4824.76,480200027,POS
2026-01-20,2026-01-20,SQ *LOCAL COFFEE CHICAGO IL,Dining,DEBIT,-14.93,4809.83,480200028,POS
2026-01-20,2026-01-20,AMAZON MKTPLACE,Shopping,DEBIT,-85.51,4724.32,480200029,POS
2026-01-22,2026-01-22,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,4694.32,480200030,POS
2026-01-22,2026-01-22,TARGET 00012 CHICAGO IL,Shopping,DEBIT,-90.55,4603.77,480200031,POS
2026-01-24,2026-01-24,REI.COM ONLINE,Shopping,DEBIT,-69.55,4534.22,480200032,POS
2026-01-25,2026-01-25,ATM WITHDRAWAL LASALLE ST,Cash,DEBIT,-100.00,4434.22,480200033,ATM
2026-01-26,2026-01-26,BEST BUY #221 CHICAGO IL,Shopping,DEBIT,-91.87,4342.35,480200034,POS
2026-01-28,2026-01-28,INTEREST PAID,Interest,CREDIT,2.85,4345.20,480200035,INT
2026-01-30,2026-01-30,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,7271.32,480200036,ACH
2026-01-30,2026-01-30,MONTHLY MAINTENANCE FEE,Fees,DEBIT,-12.00,7259.32,480200037,FEE
2026-02-01,2026-02-01,MERIDIAN BANK CARD AUTOPAY ****7732,Credit Card Payment,DEBIT,-60.95,7198.37,480200038,ACH
2026-02-02,2026-02-02,ZELLE TO J. OKAFOR RENT SHARE,Rent,DEBIT,-1150.00,6048.37,480200039,ZELLE
2026-02-03,2026-02-03,COMED UTILITY BILL,Utilities,DEBIT,-73.40,5974.97,480200040,ACH
2026-02-03,2026-02-03,PEOPLES GAS,Utilities,DEBIT,-38.60,5936.37,480200041,ACH
2026-02-04,2026-02-04,JEWEL-OSCO #3421 CHICAGO IL,Groceries,DEBIT,-62.10,5874.27,480200042,POS
2026-02-05,2026-02-05,CHIPOTLE 1845 CHICAGO IL,Dining,DEBIT,-22.45,5851.82,480200043,POS
2026-02-06,2026-02-06,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,5821.82,480200044,POS
2026-02-07,2026-02-07,GREAT LAKES STUDENT LOANS PMT,Student Loan,DEBIT,-1847.00,3974.82,480200045,ACH
