posting_date,transaction_date,description,merchant_category,type,amount,running_balance,check_number,reference_id,channel,location
2025-01-01,2025-01-01,BADGERLAND MTG SVCG LOAN PMT,Mortgage,DEBIT,-1436.98,7313.02,,AC100002,ACH,Madison WI
2025-01-03,2025-01-03,NETFLIX.COM AUTOPAY,Subscription,DEBIT,-15.49,7297.53,,DC100007,POS,Madison WI
2025-01-05,2025-01-05,CREDIT CARD AUTOPAY ****8043,Card Payment,DEBIT,-1486.22,5811.31,,AC100003,ACH,Madison WI
2025-01-06,2025-01-06,COSTCO WHSE #1098 MADISON WI,Groceries,DEBIT,-124.17,5687.14,,DC100012,POS,Madison WI
2025-01-07,2025-01-07,SPOTIFY USA AUTOPAY,Subscription,DEBIT,-11.99,5675.15,,DC100008,POS,Madison WI
2025-01-08,2025-01-08,MADISON GAS & ELECTRIC UTILITY,Utilities,DEBIT,-207.56,5467.59,,AC100005,ACH,Madison WI
2025-01-10,2025-01-10,ACH TRANSFER TO LAKESHORE BROKERAGE,Investment Transfer,DEBIT,-1535.85,3931.74,,TF100224,ACH,Madison WI
2025-01-11,2025-01-11,ACE HARDWARE MONROE ST WI,Home,DEBIT,-51.55,3880.19,,DC100016,POS,Madison WI
2025-01-12,2025-01-12,MADISON WATER UTILITY,Utilities,DEBIT,-67.7,3812.49,,AC100006,ACH,Madison WI
2025-01-12,2025-01-12,HULU AUTOPAY,Subscription,DEBIT,-18.99,3793.5,,DC100010,POS,Madison WI
2025-01-15,2025-01-15,TRANSFER TO SAVINGS ****6690,Transfer,DEBIT,-500.0,3293.5,,TF100004,XFER,Madison WI
2025-01-16,2025-01-16,WOODMAN'S MARKET #08 MADISON WI,Groceries,DEBIT,-96.72,3196.78,,DC100013,POS,Madison WI
2025-01-17,2025-01-17,AMERICAN FAMILY INS AUTO PREM,Insurance,DEBIT,-318.0,2878.78,,AC100015,ACH,Madison WI
2025-01-18,2025-01-18,NYTimes Digital AUTOPAY,Subscription,DEBIT,-17.0,2861.78,,DC100009,POS,Madison WI
2025-01-18,2025-01-18,UW BOOKSTORE MADISON WI,Merchandise,DEBIT,-94.65,2767.13,,DC100017,POS,Madison WI
2025-01-24,2025-01-24,HARBOR ATHLETIC CLUB DUES,Subscription,DEBIT,-42.0,2725.13,,DC100011,POS,Madison WI
2025-01-27,2025-01-27,WOODMAN'S MARKET #14 SUN PRAIRIE WI,Groceries,DEBIT,-142.9,2582.23,,DC100014,POS,Madison WI
2025-01-31,2025-01-31,UW–MADISON PAYROLL DIRECT DEP,Payroll Income,CREDIT,5095.64,7677.87,,DD100001,ACH,Madison WI
2025-02-01,2025-02-01,BADGERLAND MTG SVCG LOAN PMT,Mortgage,DEBIT,-1436.98,6240.89,,AC100019,ACH,Madison WI
2025-02-03,2025-02-03,NETFLIX.COM AUTOPAY,Subscription,DEBIT,-15.49,6225.4,,DC100024,POS,Madison WI
2025-02-05,2025-02-05,CREDIT CARD AUTOPAY ****8043,Card Payment,DEBIT,-610.39,5615.01,,AC100020,ACH,Madison WI
2025-02-06,2025-02-06,WOODMAN'S MARKET #08 MADISON WI,Groceries,DEBIT,-136.14,5478.87,,DC100029,POS,Madison WI
2025-02-07,2025-02-07,SPOTIFY USA AUTOPAY,Subscription,DEBIT,-11.99,5466.88,,DC100025,POS,Madison WI
2025-02-08,2025-02-08,MADISON GAS & ELECTRIC UTILITY,Utilities,DEBIT,-203.36,5263.52,,AC100022,ACH,Madison WI
2025-02-10,2025-02-10,ACH TRANSFER TO LAKESHORE BROKERAGE,Investment Transfer,DEBIT,-1535.85,3727.67,,TF100225,ACH,Madison WI
2025-02-11,2025-02-11,ORANGE TREE IMPORTS WI,Merchandise,DEBIT,-68.94,3658.73,,DC100035,POS,Madison WI
2025-02-12,2025-02-12,MADISON WATER UTILITY,Utilities,DEBIT,-70.49,3588.24,,AC100023,ACH,Madison WI
2025-02-12,2025-02-12,HULU AUTOPAY,Subscription,DEBIT,-18.99,3569.25,,DC100027,POS,Madison WI
2025-02-15,2025-02-15,TRANSFER TO SAVINGS ****6690,Transfer,DEBIT,-500.0,3069.25,,TF100021,XFER,Madison WI
2025-02-16,2025-02-16,SENTRY FOODS MIDVALE MADISON WI,Groceries,DEBIT,-139.19,2930.06,,DC100030,POS,Madison WI
2025-02-18,2025-02-18,NYTimes Digital AUTOPAY,Subscription,DEBIT,-17.0,2913.06,,DC100026,POS,Madison WI
