posting_date,transaction_date,description,merchant_category,type,amount,running_balance,check_number,reference_id,channel,location
2025-01-03,2025-01-03,Festival Foods MADISON WI,Groceries,DEBIT,-103.21,-1589.43,,CC7370656,POS,Madison WI
2025-01-05,2025-01-05,PAYMENT - THANK YOU (AUTOPAY FROM CHECKING ****2231),Payment,CREDIT,1486.22,-103.21,,AP500001,ACH,Online
2025-01-05,2025-01-05,Bassett St Brunch MADISON WI,Dining,DEBIT,-47.97,-151.18,,CC7242735,POS,Madison WI
2025-01-08,2025-01-08,Citgo MIDDLETON WI,Fuel,DEBIT,-59.7,-210.88,,CC7112718,POS,Madison WI
2025-01-11,2025-01-11,Target.com #00 MINNEAPOLIS MN,Merchandise,DEBIT,-60.92,-271.8,,CC7710372,POS,Madison WI
2025-01-14,2025-01-14,Dobhan Restaurant MADISON WI,Dining,DEBIT,-49.1,-320.9,,CC7655750,POS,Madison WI
2025-01-17,2025-01-17,Zoom.us Video SAN JOSE CA,Business/Software,DEBIT,-67.6,-388.5,,CC7169464,POS,Madison WI
2025-01-20,2025-01-20,Trader Joe's #714 MADISON WI,Groceries,DEBIT,-107.36,-495.86,,CC7898791,POS,Madison WI
2025-01-23,2025-01-23,Citgo MIDDLETON WI,Fuel,DEBIT,-47.67,-543.53,,CC7253221,POS,Madison WI
2025-01-26,2025-01-26,Hometown Pharmacy FITCHBURG WI,Pharmacy,DEBIT,-13.34,-556.87,,CC7208700,POS,Madison WI
2025-01-28,2025-01-28,Target.com #00 MINNEAPOLIS MN,Merchandise,DEBIT,-53.52,-610.39,,CC7541047,POS,Madison WI
2025-02-03,2025-02-03,Trader Joe's #714 MADISON WI,Groceries,DEBIT,-89.03,-699.42,,CC7141583,POS,Madison WI
2025-02-05,2025-02-05,PAYMENT - THANK YOU (AUTOPAY FROM CHECKING ****2231),Payment,CREDIT,610.39,-89.03,,AP500002,ACH,Online
2025-02-05,2025-02-05,The Old Fashioned MADISON WI,Dining,DEBIT,-85.35,-174.38,,CC7834118,POS,Madison WI
2025-02-08,2025-02-08,Citgo MIDDLETON WI,Fuel,DEBIT,-42.7,-217.08,,CC7826856,POS,Madison WI
2025-02-11,2025-02-11,AMZN Mktp US*RT4 AMZN.COM/BILL WA,Merchandise,DEBIT,-42.96,-260.04,,CC7972023,POS,Madison WI
2025-02-14,2025-02-14,Dobhan Restaurant MADISON WI,Dining,DEBIT,-73.54,-333.58,,CC7699841,POS,Madison WI
2025-02-17,2025-02-17,ProjectMgmt Pro NEW YORK NY,Business/Software,DEBIT,-21.53,-355.11,,CC7665266,POS,Madison WI
2025-02-20,2025-02-20,Festival Foods MADISON WI,Groceries,DEBIT,-78.06,-433.17,,CC7981993,POS,Madison WI
2025-02-23,2025-02-23,Citgo MIDDLETON WI,Fuel,DEBIT,-41.66,-474.83,,CC7525200,POS,Madison WI
2025-02-26,2025-02-26,Walgreens #5510 MADISON WI,Pharmacy,DEBIT,-13.76,-488.59,,CC7671099,POS,Madison WI
2025-02-28,2025-02-28,Apple.com/Bill CUPERTINO CA,Merchandise,DEBIT,-69.96,-558.55,,CC7502106,POS,Madison WI
2025-03-03,2025-03-03,Trader Joe's #714 MADISON WI,Groceries,DEBIT,-132.45,-691.0,,CC7671132,POS,Madison WI
2025-03-05,2025-03-05,PAYMENT - THANK YOU (AUTOPAY FROM CHECKING ****2231),Payment,CREDIT,558.55,-132.45,,AP500003,ACH,Online
