date,description,amount
03/01/2026,Beginning Balance,21540.55
03/02/2026,Payroll Deposit - Halcyon Data Corp (net),6970.50
03/02/2026,Rent - Beacon Hill Residences,-4250.00
03/03/2026,Fidelity Brokerage Transfer,-2500.00
03/03/2026,Automatic Savings Transfer to ****7046,-500.00
03/04/2026,HealthEquity HSA Transfer,-200.00
03/05/2026,Eversource Energy,-121.07
03/06/2026,Boston Water & Sewer,-58.40
03/07/2026,Comcast Xfinity Internet,-94.99
03/08/2026,Verizon Wireless,-85.00
03/09/2026,MBTA CharlieCard Reload,-60.00
03/07/2026,Netflix.com,-15.49
03/08/2026,Spotify USA,-11.99
03/09/2026,NYTimes Digital,-25.00
03/10/2026,Peloton Membership,-44.00
03/11/2026,ClassPass,-79.00
03/12/2026,Apple iCloud+,-9.99
03/13/2026,Audible,-14.95
03/14/2026,LinkedIn Premium,-39.99
03/15/2026,Amazon Prime,-14.99
03/16/2026,Disney+ Bundle,-19.99
03/17/2026,Max (HBO),-15.99
03/18/2026,Calm Premium,-12.99
03/19/2026,Substack - 3 writers,-18.00
03/20/2026,ChatGPT Plus,-20.00
03/21/2026,Adobe Creative Cloud,-54.99
03/22/2026,Dropbox Plus,-11.99
03/23/2026,YouTube Premium,-13.99
03/24/2026,The Athletic,-7.99
03/08/2026,Whole Foods Market #1014,-128.57
03/09/2026,Trader Joe's #511,-88.21
03/10/2026,Star Market,-66.23
03/11/2026,CVS Pharmacy,-29.51
03/12/2026,Tatte Bakery #214,-35.16
03/13/2026,Flour Bakery,-18.09
03/14/2026,Shell Service Station,-52.10
03/15/2026,Uber Trip,-25.65
03/16/2026,Lyft Ride,-17.44
03/17/2026,Sweetgreen Seaport,-16.21
03/18/2026,Chipotle 1492,-14.36
03/19/2026,REI Boston,-146.99
03/20/2026,Sephora Newbury St,-95.17
03/21/2026,Blue Bottle Coffee,-7.16
03/22/2026,Amazon Marketplace,-54.63
03/23/2026,Target Fenway,-71.45
03/24/2026,Equinox Day Pass,-40.00
03/25/2026,Legal Sea Foods,-99.19
03/11/2026,POS Purchase - Tatte Bakery #214,-37.40
03/12/2026,Reversal - Duplicate POS (Tatte Bakery #214),37.40
03/14/2026,Deposited Check - Acme Movers refund,1200.00
03/16/2026,Returned Deposited Item - Acme Movers,-1200.00
03/16/2026,Returned Item Fee,-12.00
03/18/2026,ATM Withdrawal - 1 Court St,-100.00
03/18/2026,Non-Harborstone ATM Surcharge,-3.50
03/21/2026,POS - Pret a Manger London (GBP),-9.80
03/21/2026,Foreign Transaction Fee,-0.29
03/25/2026,Chase Sapphire Credit Card Autopay (external),-1850.00
03/20/2026,Interest Paid - Checking,3.21
03/10/2026,Zelle from R. Mensah (utilities split),185.00
03/30/2026,Ending Balance,17416.76
