Date,Description,Card Member,Account #,Amount,Category
03/31/2026,LYFT BUSINESS,MARCUS HALLORAN,-8044,30.44,Travel
03/31/2026,FEDEX OFFICE,MARCUS HALLORAN,-8044,32.80,Shipping
03/30/2026,LYFT BUSINESS,MARCUS HALLORAN,-8044,18.07,Travel
03/25/2026,LYFT BUSINESS,MARCUS HALLORAN,-8044,10.83,Travel
03/25/2026,NOTION LABS,MARCUS HALLORAN,-8044,10.00,Software
03/24/2026,STAPLES ATLANTA,MARCUS HALLORAN,-8044,77.50,Office Supplies
03/23/2026,AMZN MKTP US,MARCUS HALLORAN,-8044,137.68,Office Supplies
03/21/2026,LYFT BUSINESS,MARCUS HALLORAN,-8044,15.86,Travel
03/21/2026,MARRIOTT HOTELS,MARCUS HALLORAN,-8044,314.41,Lodging
03/21/2026,LINKEDIN PREMIUM,MARCUS HALLORAN,-8044,39.99,Software
03/20/2026,DELTA AIR LINES,MARCUS HALLORAN,-8044,321.66,Travel
03/19/2026,AUTOPAY THANK YOU - CHASE INK BUSINESS,MARCUS HALLORAN,-8044,-2982.92,Payment
03/18/2026,FEDEX OFFICE,MARCUS HALLORAN,-8044,59.01,Shipping
03/18/2026,CANVA PRO,MARCUS HALLORAN,-8044,12.99,Software
03/17/2026,UPS STORE,MARCUS HALLORAN,-8044,8.23,Shipping
03/14/2026,STAPLES ATLANTA,MARCUS HALLORAN,-8044,138.04,Office Supplies
03/14/2026,AMZN MKTP US,MARCUS HALLORAN,-8044,100.42,Office Supplies
03/14/2026,DROPBOX BUSINESS,MARCUS HALLORAN,-8044,16.58,Software
03/13/2026,MARRIOTT HOTELS,MARCUS HALLORAN,-8044,252.54,Lodging
03/12/2026,ZOOM VIDEO,MARCUS HALLORAN,-8044,15.99,Software
03/11/2026,GOOGLE WORKSPACE,MARCUS HALLORAN,-8044,14.40,Software
03/10/2026,USPS,MARCUS HALLORAN,-8044,8.09,Shipping
03/08/2026,USPS,MARCUS HALLORAN,-8044,9.61,Shipping
03/08/2026,FIGMA INC,MARCUS HALLORAN,-8044,15.00,Software
03/07/2026,USPS,MARCUS HALLORAN,-8044,12.84,Shipping
03/06/2026,STAPLES ATLANTA,MARCUS HALLORAN,-8044,85.73,Office Supplies
03/04/2026,MARRIOTT HOTELS,MARCUS HALLORAN,-8044,301.09,Lodging
03/04/2026,ADOBE CREATIVE CLOUD,MARCUS HALLORAN,-8044,59.99,Software
03/03/2026,UBER FOR BUSINESS,MARCUS HALLORAN,-8044,44.28,Travel
03/01/2026,FEDEX OFFICE,MARCUS HALLORAN,-8044,39.58,Shipping
